"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","","",
"Bulgaria","BGR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.643915876","63.4428598186","63.2336212153","63.0156901725","62.7885135327","62.5514901866","62.3039657615","62.0452265889","61.7744928317","61.4909106345","61.1935431273","66.4643763286","72.4844437699","68.6597599389","70.5656547953","70.5815171847","70.5977780133","72.4844437699","68.2634552692","68.8748309242","68.3927043308","68.9887394089","66.7891513561","67.6847110461","69.9802820045","69.2969055317","68.3378441703","69.264757865","70.7096774194","69.2733308742","","",
"Bahrain","BHR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1841004184","4.3213108695","4.447200567","4.5631150563","4.6701947733","4.7694126922","4.8616039744","4.9474895346","5.0276949297","5.1027656211","5.1731793961","5.3456079448","5.5144820388","5.6799104645","5.5538899715","5.4322745348","5.3148371532","5.2013661591","5.0916639455","4.9855458175","4.8828389544","4.7833814708","4.6870215651","4.5936167463","4.5030331311","3.3310039599","3.2458563536","3.2458563536","3.2458563536","3.2458563536","","",
"Bahamas, The","BHS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3333333333","32.6381059752","31.9221967963","31.1846689895","30.4245283019","29.6407185629","29.511817981","29.3791325787","29.2424931756","29.1017203556","28.9566236811","29.4254658385","29.9123447772","30.4183217478","30.9445429223","31.492248062","31.5184381779","31.545412498","31.571994716","20.305537874","21.2163096061","31.5426997245","31.7108088762","31.7757009346","32.2533136966","","",
"Belize","BLZ","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","7.0629390044","12.4589842793","16.7159471713","20.1600760758","23.0038882358","25.3917556642","23.6810759981","22.5420574944","22.0706339606","21.707458355","21.4190866578","21.1845655308","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","","",
"Bermuda","BMU","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4.666375164","4.3619334337","4.0830061694","3.8265149185","3.5898573224","3.3708185053","3.167501544","2.97827239","2.8017158589","2.6366001735","2.4818481848","2.3365138469","2.249341825","2.1634945938","2.0789421808","1.9956555111","1.9136063737","1.8327673898","1.7531119823","1.6746143467","1.5978753048","1.5325670498","1.5325670498","1.5325670498","1.5325670498","1.5325670498","1.5325670498","1.5325670498","1.5325670498","1.5325670498","1.5325670498","1.5325670498","","",
"Brazil","BRA","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1155458356","18.0467475992","17.9787425689","17.9115171055","17.8450578807","17.7793518682","17.7143863356","17.6501488356","17.5866271983","17.5238095238","17.4616841743","17.3225184709","17.2009029345","17.0937146093","16.9985300013","17.8260569218","18.7115687116","19.66138115","20.6827618022","20.1857274848","17.2975418489","14.480816078","15.760953708","14.8232287378","","",
